County,Clerk,Address,Phone,Fax,Email
Barbour,Connie Kaufman,"26 N. Main
Philippi, WV 26416",(304) 457-2232,(304) 457-5983,barbourcounty@wvsos.com
Berkeley,"John W. Small, Jr.","400 W. Stephen St.
Suite 106
Martinsburg, WV 25401",(304) 264-1989,(304) 260-4882,berkeleycounty@wvsos.com
Boone,Roger Toney,"200 State Street
Suite 104
Madison, WV 25130",(304) 369-7330,(304) 369-7329,boonecounty@wvsos.com
Braxton,Sue Rutherford,"300 Main Street
P.O. Box 486
Sutton, WV 26601",(304) 765-2833,(304) 765-2093,braxtoncounty@wvsos.com
Brooke,Kim Barbetta,"632 Main Street
Wellsburg, WV 26070",(304) 737-3661,(304) 737-4023,barbetta@mail.wvnet.edu
Cabell,Phyllis Smith,"750 5th Avenue
Suite 108
Huntington, WV 25701",(304) 526-8625,(304) 526-8632,psmith@cabellcountyclerk.org
Calhoun,Jean Simers,"363 Main Street, Suite 201
P.O. Box 230
Grantsville, WV 26147",(304) 354-6725,(304) 354-6447,calhouncounty@wvsos.com
Clay,Connie Workman,"246 Main Street
P.O. Box 190
Clay, WV 25043",(304) 587-4259,(304) 587-4202,claycounty@wvsos.com
Doddridge,Catee Slater,"108 Court Street
Suite 1
West Union, WV 26456",(304) 873-2631,(304) 873-1840,doddridgecounty@wvsos.com
Fayette,Alicia Treadway,"ATTN: Elections
100 Court Street Ste. 1
P.O. Box 569
Fayetteville, WV 25840",(304) 574-4225,(304) 574-4335,fayettecounty@wvsos.com
Gilmer,Jean Butcher,"10 Howard Street
Glenville, WV 26351",(304) 462-7641,(304) 462-8855,gilmercounty@wvsos.com
Grant,Bud Fisher,"5 Highland Avenue
Petersburg, WV 26847",(304) 257-4550,(304) 257-4207,grantcounty@wvsos.com
Greenbrier,Robin Loudermilk,"912 Court Street N
P.O. Box 506
Lewisburg, WV 24901",(304) 647-6602,(304) 647-6694,greenbriercounty@wvsos.com
Hampshire,Eric Strite,"19 East Main Street
P.O. Box 806
Romney, WV 26757",(304) 822-5112,(304) 822-4039,hampshirecounty@wvsos.com
Hancock,George Foley,"102 North Court Street
P.O. Box 367
New Cumberland, WV 26047","(304) 564-3311
Ext. 266",(304) 564-5941,hancockcounty@wvsos.com
Hardy,Gregory L. Ely,"204 Washington Street
Room 111
Moorefield, WV 26836",(304) 530-0250,(304) 530-0251,hardycounty@wvsos.com
Harrison,Susan J. Thomas,"306B Washington Avenue
Clarksburg, WV 26301",(304) 624-8613,(304) 626-1090,harrisoncounty@wvsos.com
Jackson,Cheryl A. Bright,"100 Court Street North
P.O. Box 800
Ripley, WV 25271",(304) 373-2250,(304) 372-1107,cheryl.bright@jacksoncountywv.com
Jefferson,Jacki Shadle,"100 East Washington Street
P.O. Box 208
Charles Town, WV 25414",(304) 728-3246,(304) 728-1957,jeffersoncounty@wvsos.com
Kanawha,Vera McCormick,"415 Quarrier Street
Charleston, WV 25301",(304) 357-0130,(304) 357-0585,veramccormick@kanawha.us
Lewis,Cindy Rowan,"110 Center Avenue
Weston, WV 26452",(304) 269-8215,(304) 269-8202,lewiscounty@wvsos.com
Lincoln,Direl G. Baker,"8000 Court Avenue
P.O. Box 497
Hamlin, WV 25523",(304) 824-3336,(304) 824-2444,lincolncounty@wvsos.com
Logan,John A. Turner,"300 Stratton Street
Room 102
Logan, WV 25601",(304) 792-8600,(304) 792-8246,logancounty@wvsos.com
Marion,Julie Kincaid,"219 Adams Street
P.O. Box 1267
Fairmont, WV 26555",(304) 367-5445,(304) 367-5448,marioncounty@wvsos.com
Marshall,Jan Pest,"600 7th Street
P.O. Box 459
Moundsville, WV 26041",(304) 845-1220,(304) 845-5891,marshallcounty@wvsos.com
Mason,Diana N. Cromley,"200 Sixth Street
Point Pleasant, WV 25550",(304) 675-1997,(304) 675-2521,masoncounty@wvsos.com
McDowell,Donald L. Hicks,"90 Wyoming Street
Suite 109
Welch, WV 24801",(304) 436-8544,(304) 436-8576,mcdowellcounty@wvsos.com
Mercer,Verlin T. Moye,"1501 West Main Street
Suite 121
Princeton, WV 24740",(304) 487-8338/8339,(304) 425-4851,mercercounty@wvsos.com
Mineral,Lauren Ellifritz,"150 Armstrong Street
Keyser, WV 26726",(304) 788-3924,(304) 788-4109,mineralcounty@wvsos.com
Mingo,Judy Harvey,"78 East Second Avenue
Room 125
Williamson, WV 25661",(304) 235-0330,(304) 235-0565,mingocounty@wvsos.com
Monongalia,Carye L. Blaney,"243 High Street
Room 123
Morgantown, WV 26505",(304) 291-7230,(304) 291-7233,monongaliacounty@wvsos.com
Monroe,Donald J. Evans,"350 Main Street
P.O. Box 350
Union, WV 24983",(304) 772-3096,(304) 772-4191,jmeadows@monroecountywv.net
Morgan,Kimberly Johnson-Nickles,"77 Fairfax Street
Room 102
Berkeley Springs, WV 25411",(304) 258-8547,(304) 258-8545,knickles@morgancountywv.gov
Nicholas,Bobby Painter,"700 Main Street
Suite 2
Summersville, WV 26651",(304) 872-7820,(304) 872-9600,nicholascounty@wvsos.com
